Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1/23/2020,AXISBANK,EQ,712.6,725.05,737.55,719.4,723.9,723,727.22,20643257,1.50121E+15,,,
1/24/2020,AXISBANK,EQ,723,723.4,741.7,720.4,739,737.4,732.15,9541490,6.98582E+14,,,
1/27/2020,AXISBANK,EQ,737.4,732.45,748.45,731,738.7,740.25,741.74,9170435,6.80208E+14,,,
1/28/2020,AXISBANK,EQ,740.25,738.4,746.5,735,735.4,737.15,741.62,7836737,5.81185E+14,,,
1/29/2020,AXISBANK,EQ,737.15,740,745.5,733.55,735.5,735.25,739.59,7985274,5.90585E+14,,,
1/30/2020,AXISBANK,EQ,735.25,735.75,736.4,727.3,730.9,730.9,731.04,6041343,4.41644E+14,,,
1/31/2020,AXISBANK,EQ,730.9,734.7,737.25,725.2,731,729.3,730.38,8345819,6.09563E+14,,,
2/1/2020,AXISBANK,EQ,729.3,728.55,734.35,702,707,705.45,716.97,7341770,5.26383E+14,,,
2/3/2020,AXISBANK,EQ,705.45,704.7,712.8,695.55,707.95,708.95,704.27,11594991,8.166E+14,,,
2/4/2020,AXISBANK,EQ,708.95,712.45,720.6,710,715.2,715,715.5,9653925,6.90741E+14,,,
2/5/2020,AXISBANK,EQ,715,719.45,725.65,715.2,724.7,724.05,720.37,7975101,5.74499E+14,,,
2/6/2020,AXISBANK,EQ,724.05,727.45,745,723,736.7,736.95,736.25,9627252,7.08808E+14,,,
2/7/2020,AXISBANK,EQ,736.95,736.7,749.2,734,746.3,748.15,742.76,8438354,6.2677E+14,,,
2/10/2020,AXISBANK,EQ,748.15,746.3,746.8,739,739.2,741.1,742.03,4713339,3.49746E+14,,,
2/11/2020,AXISBANK,EQ,741.1,743,757.1,742,749.65,749.95,750.81,7845657,5.8906E+14,,,
2/12/2020,AXISBANK,EQ,749.95,752,760.7,751,753.8,755.25,756.6,6190440,4.68371E+14,,,
2/13/2020,AXISBANK,EQ,755.25,751.1,753.45,742.3,746.45,747.8,746.12,5031706,3.75425E+14,,,
2/14/2020,AXISBANK,EQ,747.8,748.1,752.55,732.1,736.5,736.5,739.84,6155000,4.55374E+14,,,
2/17/2020,AXISBANK,EQ,736.5,737.4,743.1,730.2,738.5,738.4,736.29,4275465,3.14798E+14,,,
2/18/2020,AXISBANK,EQ,738.4,737.75,737.75,724.7,735.5,733.65,730.59,5215502,3.81039E+14,,,
2/19/2020,AXISBANK,EQ,733.65,740.65,745.1,735.35,741.5,741.05,740.45,4372673,3.23774E+14,,,
2/20/2020,AXISBANK,EQ,741.05,742.75,754,737.6,745.5,744.3,747.21,7529403,5.62606E+14,,,
2/24/2020,AXISBANK,EQ,744.3,737.95,738.4,723,725.5,725.45,731.78,6589087,4.82179E+14,,,
2/25/2020,AXISBANK,EQ,725.45,729.4,732,722.05,730,728.75,728.05,5419596,3.94576E+14,,,
2/26/2020,AXISBANK,EQ,728.75,725.3,735.75,722,728.3,729.4,729.54,7136975,5.20667E+14,,,
2/27/2020,AXISBANK,EQ,729.4,728.7,739.45,716.55,737.3,735.85,728.51,8867328,6.45991E+14,,,
2/28/2020,AXISBANK,EQ,735.85,718.9,724.7,691,701,697.3,705.99,16428944,1.15987E+15,,,
3/2/2020,AXISBANK,EQ,697.3,709.3,713.25,675.3,687,684.2,695.97,13854352,9.64219E+14,,,
3/3/2020,AXISBANK,EQ,684.2,689.9,695.8,675,689.8,687.15,685.67,11198145,7.67819E+14,,,
3/4/2020,AXISBANK,EQ,687.15,690,696,668.3,681,682.2,682.4,14802724,1.01014E+15,,,
3/5/2020,AXISBANK,EQ,682.2,686.5,694,675.25,677.75,677.9,685.27,10508008,7.20086E+14,,,
3/6/2020,AXISBANK,EQ,677.9,650,660.8,641.05,658.2,657.65,653.41,12969235,8.47422E+14,,,
3/9/2020,AXISBANK,EQ,657.65,639,641.85,615.1,623.6,623.55,629.4,14336439,9.02337E+14,,,
3/11/2020,AXISBANK,EQ,623.55,613.65,634.4,612.1,620,619.35,623.09,11021533,6.86737E+14,,,
3/12/2020,AXISBANK,EQ,619.35,592,594,528.15,545.1,543.25,556.85,29369628,1.63544E+15,,,
3/13/2020,AXISBANK,EQ,543.25,516.95,585.65,451.1,578.5,568.8,541.99,25599380,1.38746E+15,,,
3/16/2020,AXISBANK,EQ,568.8,542.35,545,502.35,510.9,508.6,521.82,21543626,1.12419E+15,,,
3/17/2020,AXISBANK,EQ,508.6,515.15,531.3,477.45,485.65,488.35,511.9,20594426,1.05422E+15,,,
3/18/2020,AXISBANK,EQ,488.35,490,506.05,392.1,484.15,473.45,456.43,36268578,1.6554E+15,,,
3/19/2020,AXISBANK,EQ,473.45,441.05,464.95,423.75,428,428.25,440.66,33244422,1.46495E+15,,,
3/20/2020,AXISBANK,EQ,428.25,431.4,449.7,414.2,425,428.15,429.91,30764380,1.3226E+15,,,
3/23/2020,AXISBANK,EQ,428.15,385.35,392,302,310,308.65,333.19,37622791,1.25356E+15,,,
3/24/2020,AXISBANK,EQ,308.65,331.95,337.5,291,304.8,303.15,311.41,50683611,1.57831E+15,,,
3/25/2020,AXISBANK,EQ,303.15,293.5,363.75,286,331.5,326.8,319.6,51994332,1.66173E+15,,,
3/26/2020,AXISBANK,EQ,326.8,335.95,399,332,346,341.4,362.99,62971676,2.28579E+15,,,
3/27/2020,AXISBANK,EQ,341.4,370,409.45,354.05,362.5,359.75,378.88,71043359,2.69172E+15,,,
3/30/2020,AXISBANK,EQ,359.75,345,382,340.35,368.2,368.15,364.35,61772934,2.2507E+15,,,
3/31/2020,AXISBANK,EQ,368.15,384.4,389.8,372.65,378.5,379,379.67,34637418,1.31507E+15,,,
4/1/2020,AXISBANK,EQ,379,376.25,379.8,354,355.5,358.65,366.41,27745001,1.0166E+15,,,
4/3/2020,AXISBANK,EQ,358.65,360.2,362.3,324,326.9,325.45,343.1,41317685,1.41762E+15,,,
4/7/2020,AXISBANK,EQ,325.45,347.4,405.75,342.35,391,388.85,367.02,48093870,1.76515E+15,,,
4/8/2020,AXISBANK,EQ,388.85,383.75,427.7,373.5,391.4,391.35,396.73,64930772,2.57597E+15,,,
4/9/2020,AXISBANK,EQ,391.35,405,423,398.65,420,420.15,409.23,44090829,1.80431E+15,,,
4/13/2020,AXISBANK,EQ,420.15,417.95,427.9,402,420,418.95,414.15,33432493,1.38461E+15,,,
4/15/2020,AXISBANK,EQ,418.95,434,451.65,412.45,418,417.3,434.36,48315084,2.09862E+15,,,
4/16/2020,AXISBANK,EQ,417.3,408.6,427,400.7,426,422.55,415.38,42344581,1.7589E+15,,,
4/17/2020,AXISBANK,EQ,422.55,450,485.9,432.4,481.4,478.8,447.62,47831855,2.14106E+15,,,
4/20/2020,AXISBANK,EQ,478.8,482,483.45,451.25,453,455.95,465.65,42163860,1.96336E+15,,,
4/21/2020,AXISBANK,EQ,455.95,436,439.95,412.95,419.65,420.65,421.92,33572228,1.41649E+15,,,
4/22/2020,AXISBANK,EQ,420.65,418.55,434.55,412,433.5,431.15,424.5,36619626,1.55449E+15,,,
4/23/2020,AXISBANK,EQ,431.15,434.6,439.85,426.05,428.9,430.05,433,29418033,1.2738E+15,,,
4/24/2020,AXISBANK,EQ,430.05,416,419.65,401.25,406,403.95,410.4,35773432,1.46815E+15,,,
4/27/2020,AXISBANK,EQ,403.95,415,429.5,409.1,426.1,427.3,422.19,35987021,1.51933E+15,,,
4/28/2020,AXISBANK,EQ,427.3,438,458.4,435.25,457.5,455.45,446.31,43938651,1.96101E+15,,,
4/29/2020,AXISBANK,EQ,455.45,430.75,448.85,425.95,438.85,439.1,438.97,61500039,2.69966E+15,,,
4/30/2020,AXISBANK,EQ,439.1,451,461.9,440.4,444.05,444.9,452.72,40383418,1.82825E+15,,,
